Taxon	M.02.c.S52	M.1.b.S33	M.min.b.S16	M.2.c.S35	M.01.a.S22	M.02.b.S59	M.01.c.S3	M.005.b.S39	S.02.a.S32	M.05.c.S36	M.005.c.S47	M.min.a.S30	S.005.c.S15	M.min.c.S48	M.05.a.S44	M.2.a.S38	M.005.a.S53	S.005.a.S41	S.01.b.S9	S.01.c.S25	M.1.c.S31	M.1.a.S40	M.02.a.S29	M.05.b.S19	S.01.a.S45	M.01.b.S60	M.2.b.S50	S.005.b.S5	S.02.b.S61	S.2.b.S20	S.05.c.S54	S.min.a.S21	S.1.b.S49	S.min.b.S4	S.1.a.S7	S.min.c.S10	S.2.c.S55	S.05.b.S24	S.05.a.S51	S.02.c.S2	S.1.c.S14	S.2.a.S18
d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__A4b; s__wastewater_metagenome	3	6	2	9	0	10	0	3	0	3	2	0	0	0	4	5	0	0	0	0	3	5	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae	3	2	10	3	0	19	13	5	0	6	8	18	0	11	1	1	19	9	0	0	10	0	10	8	0	3	4	0	0	0	0	3	0	0	0	9	0	0	0	1	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__mle1-7; s__uncultured_beta	3	0	1	0	0	0	0	0	0	2	0	0	0	5	3	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophales; g__Omnitrophales; s__uncultured_bacterium	3	3	2	0	2	0	0	0	0	0	2	0	0	1	5	0	2	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__unidentified_eubacterium	3	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__uncultured_Planctomycetales	3	9	0	4	2	2	2	0	0	0	0	5	0	0	1	5	0	0	0	0	3	0	0	5	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_bacterium	3	4	7	0	0	5	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__uncultured_soil	3	3	0	41	0	0	6	0	0	10	10	3	0	1	8	8	0	0	0	0	2	24	1	7	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Elusimicrobiota; c__Lineage_IIb; o__Lineage_IIb; f__Lineage_IIb; g__Lineage_IIb; s__uncultured_bacterium	3	0	8	0	0	8	11	9	0	0	9	14	0	5	0	0	3	0	0	0	0	0	0	11	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Abditibacteriota; c__Abditibacteria; o__Abditibacteriales; f__Abditibacteriaceae; g__Abditibacterium	3	0	0	0	2	2	0	0	0	0	3	3	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Sporocytophaga; s__uncultured_bacterium	3	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae; g__Candidatus_Alysiosphaera; s__metagenome	3	4	0	3	3	0	2	2	13	3	0	0	24	0	7	0	0	14	17	36	3	0	0	6	34	0	0	33	41	22	18	28	10	27	49	8	41	43	41	47	23	30
d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__BIrii41; g__BIrii41	3	0	3	1	0	11	0	7	0	11	2	0	0	0	12	17	1	0	0	1	24	0	0	5	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Terrimonas	3	0	3	12	0	0	0	0	0	7	5	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	1	9	0	0	3	13	0	0
d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured	3	2	0	3	5	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14	3	2	6	3	4	9	0	9	35	1	6	10	4	26	13	0	6	15	29	20	7	6	7	9	16	13	8	25	21	61	23	24	41	20	26	20	53	43	55	7	19	64
d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__C0119; f__C0119; g__C0119; s__uncultured_Chloroflexi	3	13	3	4	18	28	8	12	0	21	19	7	0	10	13	20	12	0	0	0	21	12	26	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae	3	0	0	5	0	0	9	0	0	0	0	0	0	0	5	18	0	0	0	0	9	9	0	7	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter	3	0	1	4	5	5	6	18	0	16	9	9	0	5	4	0	14	0	0	0	3	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	3	4	0	2	4	0	1	0	0	6	2	2	0	6	6	0	15	3	44	0	8	0	45	43	0	2	4	3	7	0	2	12	0	0	0	0	15	3	0	0	51	4
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_bacterium	3	3	3	0	0	7	2	0	0	0	3	0	0	10	13	4	0	0	0	0	6	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__SM1A02; s__uncultured_Planctomycetaceae	3	0	0	0	0	0	0	2	0	0	0	0	0	2	2	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__uncultured; s__uncultured_bacterium	3	0	0	0	0	4	3	0	0	3	0	3	0	0	0	0	6	0	0	0	0	3	1	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Subgroup_5; o__Subgroup_5; f__Subgroup_5; g__Subgroup_5; s__uncultured_bacterium	3	4	0	0	10	7	0	0	0	3	10	0	0	0	1	0	9	0	0	0	5	4	10	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia; s__metagenome	3	5	16	6	2	3	2	4	0	1	3	6	0	2	2	0	1	0	0	0	7	1	5	2	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	3	1	2	0	3	0	2	5	0	0	0	7	0	15	7	0	2	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Fimbriimonadaceae; s__uncultured_bacterium	3	1	6	7	6	2	6	5	0	2	5	3	0	2	6	0	0	0	0	0	2	6	0	6	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Vampirovibrionales; f__Vampirovibrionales; g__Vampirovibrionales; s__uncultured_bacterium	3	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae	3	39	8	9	20	12	7	20	0	9	11	28	0	18	9	17	4	0	0	0	36	5	7	12	0	9	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter; s__uncultured_bacterium	3	2	6	17	3	5	1	9	14	0	0	11	10	1	12	33	17	8	5	10	10	27	9	24	10	6	23	0	2	38	8	9	12	2	11	3	23	8	7	3	12	33
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__JG30-KF-CM45; s__metagenome	3	5	5	13	3	0	0	5	22	5	20	0	7	7	20	10	2	17	29	9	2	10	11	6	29	9	19	16	14	20	19	8	8	4	8	5	21	13	28	24	20	10
d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20	3	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__JG30-KF-AS9; g__JG30-KF-AS9; s__uncultured_bacterium	3	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	2	0	0	0	7	3	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_bacterium	3	0	0	0	0	2	0	9	0	7	0	0	0	0	5	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_bacterium	3	17	4	9	25	5	16	11	0	11	6	13	0	27	10	12	5	0	0	0	15	10	2	13	0	2	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Edaphobaculum; s__uncultured_Bacteroidetes	3	0	0	0	6	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Psychroglaciecola; s__metagenome	3	8	9	22	15	0	10	0	0	12	5	4	0	8	4	18	7	0	0	0	31	22	9	10	0	8	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__uncultured; s__uncultured_sludge	3	0	2	0	0	0	2	2	0	0	0	0	0	0	9	0	0	0	4	5	0	0	3	0	0	0	2	2	5	0	0	0	2	0	2	0	0	0	0	0	4	0
d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured_Gemmatimonadaceae	3	5	0	0	2	0	0	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__uncultured_Gemmata	3	1	2	3	7	3	2	5	0	18	3	8	0	0	2	2	2	0	0	0	0	3	4	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__JG30-KF-CM45	3	0	5	3	0	2	0	4	0	3	1	0	0	2	4	0	0	0	0	0	3	2	2	7	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__KF-JG30-B3; g__KF-JG30-B3; s__uncultured_bacterium	3	12	0	19	10	7	10	15	0	14	7	17	0	9	6	25	7	0	0	0	16	32	22	17	0	5	30	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
d__Bacteria; p__Actinobacteriota; c__MB-A2-108; o__MB-A2-108; f__MB-A2-108; g__MB-A2-108; s__uncultured_bacterium	3	2	7	4	0	6	3	5	2	4	0	0	0	6	5	0	0	0	8	0	6	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Dokdonella	3	0	0	0	0	4	1	1	0	0	0	1	0	0	5	0	0	0	0	0	0	7	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__Peredibacter; s__metagenome	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group	3	0	0	0	0	2	2	3	0	0	2	2	0	2	0	2	0	0	0	0	0	4	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured_bacterium	3	8	0	0	12	6	6	6	0	14	13	0	0	4	5	5	4	0	0	0	5	11	7	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Tumebacillus	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	11
d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__JG30-KF-AS9; g__JG30-KF-AS9; s__uncultured_bacterium	3	11	2	14	8	4	3	17	0	16	11	0	0	2	0	34	21	0	0	0	7	10	24	22	0	56	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured	3	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	7	3	0	0	0	2	0	0	0	1	0	0	0	1	5	6	0	0	0	3	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Opitutus	3	0	5	0	0	0	0	6	106	0	1	0	117	3	8	2	0	135	112	105	8	0	0	3	123	12	5	168	136	22	118	127	100	128	62	182	95	219	143	115	135	60
d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_pectinilyticus	3	4	0	9	4	0	3	1	0	12	4	1	0	7	12	0	2	0	0	0	1	5	5	11	0	5	11	0	0	0	0	0	0	0	0	2	0	2	2	0	0	1
d__Bacteria; p__Elusimicrobiota; c__Lineage_IIb; o__Lineage_IIb; f__Lineage_IIb; g__Lineage_IIb; s__uncultured_bacterium	3	5	2	2	2	0	8	1	0	18	0	6	0	10	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Conexibacter; s__metagenome	3	3	5	12	8	2	4	10	0	6	3	10	0	10	21	2	16	0	0	0	13	10	11	8	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_bacterium	3	0	0	2	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__uncultured; s__uncultured_Ktedobacteria	3	8	0	12	11	0	2	11	0	8	13	14	0	2	0	14	13	0	0	0	9	18	1	7	0	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__uncultured; s__uncultured_soil	3	3	0	0	0	3	0	0	0	0	0	0	0	10	2	2	9	0	0	0	0	0	3	4	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium	3	0	7	0	5	4	1	4	0	2	0	2	0	3	0	9	5	0	0	0	1	1	5	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__IS-44	3	5	9	7	1	4	3	8	6	2	10	2	18	4	6	3	10	6	13	23	6	6	7	11	27	0	0	21	13	22	11	9	19	6	26	13	14	24	11	17	14	2
d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Gemmatimonadales	3	0	3	0	0	6	5	7	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Vermiphilaceae; g__Vermiphilaceae; s__uncultured_Candidatus	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes; s__uncultured_bacterium	3	6	2	3	2	7	12	2	0	13	5	6	0	10	8	2	9	0	0	0	23	4	7	12	0	6	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Vermiphilaceae; g__Vermiphilaceae; s__uncultured_bacterium	3	0	0	5	0	0	0	2	0	0	0	7	0	10	0	22	4	0	0	0	4	0	0	3	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Abditibacteriota; c__Abditibacteria; o__Abditibacteriales; f__Abditibacteriaceae; g__Abditibacterium	3	0	8	0	0	4	6	0	0	7	4	11	0	2	2	0	2	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__uncultured; s__uncultured_Alphaproteobacteria	3	0	2	2	0	3	0	0	0	6	1	2	0	0	4	2	13	0	0	0	7	5	14	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20; s__uncultured_bacterium	3	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter; s__uncultured_Verrucomicrobia	3	7	25	9	3	3	10	23	1	0	30	48	0	64	26	13	19	0	0	0	16	23	5	27	0	14	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales	3	12	3	5	2	7	0	9	0	6	5	16	0	9	7	9	5	0	0	3	4	13	3	13	0	5	6	0	0	0	8	0	0	1	0	2	0	0	0	0	2	0
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__uncultured_bacterium	3	0	1	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriales; g__Kapabacteriales; s__uncultured_Chlorobiales	3	11	0	11	3	0	0	0	0	5	0	0	0	2	0	8	0	0	0	0	12	14	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured	3	4	0	0	0	0	0	6	0	2	1	0	0	9	1	0	2	0	0	0	7	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophaceae; g__Candidatus_Omnitrophus	3	0	2	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_bacterium	3	0	0	0	3	2	0	4	0	2	11	4	0	23	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10	3	1	2	0	0	0	0	0	0	100	0	1	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Opitutus	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__FFCH9454; g__FFCH9454; s__uncultured_bacterium	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae	3	18	10	39	25	6	5	13	0	5	6	26	0	5	15	19	9	0	0	0	42	13	20	26	0	12	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group	3	8	10	8	9	9	7	3	0	2	9	0	0	6	5	0	2	4	0	0	4	0	0	3	0	9	7	0	2	0	0	0	0	0	6	0	2	3	0	0	0	0
d__Bacteria; p__Firmicutes; c__Limnochordia; o__Limnochordia; f__Limnochordia; g__Hydrogenispora; s__uncultured_bacterium	3	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	2	0	0	2	0
d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	3	0	0	0	0	0	3	6	0	5	0	2	0	4	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	3	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	5	0	2	0	5	0	4	0	0	0	2	0	0	2	0	0	2	0	4	0	0	0	0	5	3	0
d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium	3	3	18	0	8	7	15	27	0	28	21	27	0	26	7	2	17	0	0	0	13	17	18	16	0	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Amycolatopsis	3	0	0	0	0	0	0	0	2	3	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	2	5	6	4	0	0	11	0	3	0	6	3
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae	3	2	3	0	8	7	14	18	0	12	7	18	0	23	1	0	9	0	0	0	0	0	8	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__UTCFX1	3	2	0	0	0	0	2	0	2	0	0	0	7	0	0	0	0	1	0	2	6	0	0	0	2	0	2	8	1	5	2	0	4	0	8	0	8	5	3	0	0	16
d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales; f__Sumerlaeaceae; g__Sumerlaea; s__uncultured_bacterium	3	0	2	0	0	0	0	2	0	0	3	0	0	6	0	0	0	0	0	0	1	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Altererythrobacter	3	0	2	0	5	3	4	0	0	3	2	3	0	0	3	0	5	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
